,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama
500,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Professional doctorate,Research Scientist,Academics/Education,"10,000 or more employees",Europa,data
503,Woman,30-34,Italy,Master’s degree,Software Engineer,Computers/Technology,50-249 employees,Europa,developer
505,Man,45-49,South Korea,Doctoral degree,Product Manager,Other,"10,000 or more employees",Asia,other
506,Man,25-29,United States of America,Doctoral degree,Research Scientist,Academics/Education,"10,000 or more employees",América del Norte,data
508,Woman,18-21,Turkey,Master’s degree,Data Analyst,Government/Public Service,0-49 employees,Asia,data
510,Man,25-29,Malaysia,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Asia,data
512,Woman,35-39,United States of America,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,América del Norte,data
514,Man,22-24,Kenya,Master’s degree,Data Engineer,Computers/Technology,0-49 employees,África,data
515,Man,25-29,Taiwan,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
516,Man,50-54,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,Energy/Mining,"1000-9,999 employees",Europa,data
517,Man,45-49,Italy,Doctoral degree,Data Scientist,Government/Public Service,"1000-9,999 employees",Europa,data
518,Man,50-54,South Korea,Master’s degree,Machine Learning Engineer,Energy/Mining,0-49 employees,Asia,data
520,Man,35-39,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,"10,000 or more employees",Asia,data
521,Man,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
523,Man,35-39,United States of America,Doctoral degree,Software Engineer,Accounting/Finance,"10,000 or more employees",América del Norte,developer
524,Man,25-29,Mexico,Master’s degree,Statistician,Academics/Education,250-999 employees,América del Sur,other
526,Man,55-59,United States of America,Doctoral degree,Data Engineer,Government/Public Service,"1000-9,999 employees",América del Norte,data
531,Man,25-29,Russia,Doctoral degree,Data Scientist,Computers/Technology,50-249 employees,Europa,data
532,Man,22-24,India,Master’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
533,Man,22-24,India,Bachelor’s degree,Software Engineer,Non-profit/Service,50-249 employees,Asia,developer
534,Man,60-69,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,"1000-9,999 employees",Europa,data
535,Man,25-29,Germany,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Europa,data
537,Man,22-24,India,Master’s degree,Program/Project Manager,Computers/Technology,0-49 employees,Asia,other
538,Man,22-24,Nigeria,Master’s degree,Research Scientist,Academics/Education,0-49 employees,África,data
540,Man,22-24,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Shipping/Transportation,250-999 employees,América del Norte,data
541,Man,18-21,India,Master’s degree,Data Scientist,,,Asia,data
546,Man,35-39,United States of America,Master’s degree,Software Engineer,Energy/Mining,0-49 employees,América del Norte,developer
550,Man,22-24,Brazil,Bachelor’s degree,Data Scientist,Energy/Mining,"1000-9,999 employees",América del Sur,data
556,Man,22-24,Germany,Bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Europa,data
557,Woman,22-24,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,Computers/Technology,50-249 employees,África,data
558,Man,30-34,Italy,Doctoral degree,Software Engineer,Energy/Mining,250-999 employees,Europa,developer
559,Man,30-34,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,"1000-9,999 employees",Asia,data
560,Woman,35-39,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,Broadcasting/Communications,"10,000 or more employees",Europa,developer
563,Man,22-24,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
565,Man,30-34,Brazil,Bachelor’s degree,Software Engineer,Other,50-249 employees,América del Sur,developer
567,Man,40-44,Nigeria,Doctoral degree,Research Scientist,Government/Public Service,"1000-9,999 employees",África,data
568,Man,18-21,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Europa,data
571,Man,22-24,India,Bachelor’s degree,Software Engineer,,,Asia,developer
574,Man,25-29,Egypt,Bachelor’s degree,Data Engineer,Computers/Technology,0-49 employees,África,data
577,Man,22-24,Ukraine,Bachelor’s degree,Data Analyst,,,Europa,data
578,Man,30-34,Canada,Master’s degree,Data Engineer,Manufacturing/Fabrication,"1000-9,999 employees",América del Norte,data
579,Man,25-29,Malaysia,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
580,Woman,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data
582,Man,25-29,Japan,Master’s degree,Machine Learning Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,data
584,Man,22-24,Egypt,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,África,data
585,Man,30-34,Indonesia,Bachelor’s degree,Program/Project Manager,Hospitality/Entertainment/Sports,50-249 employees,Asia,other
586,Man,35-39,Kenya,Bachelor’s degree,Data Analyst,,,África,data
587,Man,22-24,India,Master’s degree,Business Analyst,Computers/Technology,"1000-9,999 employees",Asia,data
593,Man,22-24,Ghana,Bachelor’s degree,Software Engineer,Computers/Technology,50-249 employees,África,developer
595,Man,50-54,United States of America,Master’s degree,Data Scientist,Hospitality/Entertainment/Sports,50-249 employees,América del Norte,data
601,Man,60-69,Russia,Doctoral degree,Data Scientist,Insurance/Risk Assessment,50-249 employees,Europa,data
602,Man,25-29,Russia,Master’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",Europa,data
603,Man,40-44,Russia,Master’s degree,Data Engineer,Manufacturing/Fabrication,"10,000 or more employees",Europa,data
604,Man,35-39,Russia,I prefer not to answer,Research Scientist,Academics/Education,0-49 employees,Europa,data
605,Man,30-34,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,"1000-9,999 employees",África,data
606,Man,25-29,Colombia,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",América del Sur,data
610,Man,40-44,Japan,Professional doctorate,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
611,Man,45-49,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,50-249 employees,América del Norte,data
612,Man,50-54,Poland,Master’s degree,Business Analyst,Accounting/Finance,50-249 employees,Europa,data
615,Man,18-21,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
616,Man,22-24,India,Doctoral degree,Statistician,Hospitality/Entertainment/Sports,0-49 employees,Asia,other
619,Man,22-24,India,Bachelor’s degree,Software Engineer,Academics/Education,250-999 employees,Asia,developer
622,Woman,30-34,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Europa,data
623,Woman,18-21,China,I prefer not to answer,Data Analyst,Academics/Education,0-49 employees,Asia,data
624,Woman,25-29,Nigeria,Bachelor’s degree,Software Engineer,Other,"1000-9,999 employees",África,developer
625,Woman,25-29,Nigeria,Bachelor’s degree,Data Scientist,Online Service/Internet-based Services,0-49 employees,África,data
626,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
628,Man,25-29,South Korea,Bachelor’s degree,Data Analyst,,,Asia,data
633,Man,30-34,India,Master’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
635,Man,25-29,Turkey,Bachelor’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",Asia,data
637,Man,30-34,Russia,Master’s degree,Data Analyst,Academics/Education,250-999 employees,Europa,data
643,Man,35-39,China,Master’s degree,Business Analyst,Marketing/CRM,0-49 employees,Asia,data
644,Woman,30-34,Pakistan,Doctoral degree,Software Engineer,Academics/Education,250-999 employees,Asia,developer
645,Man,25-29,Brazil,Master’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",América del Sur,data
646,Man,30-34,United States of America,Master’s degree,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",América del Norte,data
650,Man,35-39,India,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,"1000-9,999 employees",Asia,developer
651,Man,22-24,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,50-249 employees,América del Sur,data
652,Man,60-69,Taiwan,Doctoral degree,Research Scientist,Computers/Technology,"10,000 or more employees",Asia,data
653,Man,30-34,Colombia,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,América del Sur,data
654,Man,25-29,India,Master’s degree,Research Scientist,Academics/Education,50-249 employees,Asia,data
655,Man,30-34,India,Master’s degree,Data Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,data
657,Man,70+,Italy,Some college/university study without earning a bachelor’s degree,Developer Relations/Advocacy,Marketing/CRM,"10,000 or more employees",Europa,other
660,Woman,35-39,United States of America,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,América del Norte,data
661,Man,60-69,United States of America,Bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees,América del Norte,other
663,Man,35-39,"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,Online Service/Internet-based Services,0-49 employees,África,data
664,Man,22-24,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",América del Norte,data
665,Man,22-24,Morocco,Master’s degree,Data Scientist,Academics/Education,0-49 employees,África,data
666,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
668,Man,22-24,Spain,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Europa,data
670,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,250-999 employees,Europa,data
671,Man,30-34,Taiwan,Bachelor’s degree,Software Engineer,,,Asia,developer
672,Man,30-34,Pakistan,Doctoral degree,Machine Learning Engineer,Academics/Education,250-999 employees,Asia,data
673,Man,45-49,Japan,Bachelor’s degree,Program/Project Manager,Computers/Technology,250-999 employees,Asia,other
674,Man,50-54,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,"1000-9,999 employees",África,data
676,Man,30-34,Pakistan,Doctoral degree,Machine Learning Engineer,Government/Public Service,"1000-9,999 employees",Asia,data
680,Man,18-21,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,250-999 employees,Asia,data
684,Man,35-39,United States of America,Doctoral degree,Data Scientist,Academics/Education,50-249 employees,América del Norte,data
687,Man,30-34,Russia,Master’s degree,Program/Project Manager,Shipping/Transportation,250-999 employees,Europa,other
688,Woman,30-34,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,50-249 employees,Asia,data
691,Man,22-24,Spain,Bachelor’s degree,Machine Learning Engineer,Broadcasting/Communications,50-249 employees,Europa,data
692,Man,35-39,Bangladesh,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
694,Man,25-29,India,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
697,Man,45-49,Australia,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Oceanía,other
703,Woman,40-44,United States of America,Bachelor’s degree,Software Engineer,Military/Security/Defense,0-49 employees,América del Norte,developer
704,Man,60-69,United States of America,Master’s degree,Machine Learning Engineer,Government/Public Service,0-49 employees,América del Norte,data
706,Man,50-54,United States of America,Doctoral degree,Data Scientist,Academics/Education,250-999 employees,América del Norte,data
709,Man,40-44,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,"1000-9,999 employees",Europa,data
710,Man,50-54,United States of America,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,Accounting/Finance,250-999 employees,América del Norte,data
712,Man,60-69,France,Master’s degree,Data Scientist,Retail/Sales,"1000-9,999 employees",Europa,data
713,Man,40-44,Japan,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Asia,other
715,Man,35-39,Germany,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,Europa,data
718,Woman,30-34,India,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data
721,Man,45-49,Turkey,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
722,Woman,25-29,India,Master’s degree,Data Analyst,Computers/Technology,50-249 employees,Asia,data
724,Man,18-21,India,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
726,Woman,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,,,Asia,data
727,Woman,22-24,Indonesia,Bachelor’s degree,DBA/Database Engineer,Academics/Education,50-249 employees,Asia,data
728,Woman,22-24,Pakistan,Master’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
729,Man,30-34,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,50-249 employees,Europa,data
731,Man,22-24,Viet Nam,Doctoral degree,Software Engineer,Broadcasting/Communications,250-999 employees,Asia,developer
